"Cluster","GLON","e_LON","GLAT","e_LAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logA","A0","_RA.icrs","_DE.icrs"
"CWNU_1001",139.019,0.832,-2.2811,0.278,38,2.637,0.095,13.549,1.037,-15.244,1.098,8.65,0.9,43.192,56.7526
"CWNU_1002",104.6555,0.129,5.7598,0.064,34,0.945,0.069,-2.827,0.673,-2.702,0.935,7.7,1.25,330.4406,62.4475
"CWNU_1003",206.5725,0.165,-2.5455,0.272,37,1.544,0.034,-1.766,0.16,-4.762,0.106,7.55,0.4,97.6809,4.4869
"CWNU_1004",336.1446,0.363,8.4473,0.316,24,6.259,0.063,-11.103,0.361,-23.516,0.453,7.05,2.95,239.6985,-42.0316
"CWNU_1005",77.7626,0.107,-0.5267,0.052,20,0.88,0.023,0.087,0.964,-3.552,1.274,7.65,2.35,307.79,38.5528
"CWNU_1006",120.1856,0.68,5.8931,0.276,26,2.997,0.035,-6.617,0.262,0.144,0.272,7.85,0.75,5.3524,68.6046
"CWNU_1007",185.3173,0.758,-11.0622,0.543,87,2.866,0.298,-0.099,0.461,-5.895,0.472,7.55,1.25,79.3553,18.5041
"CWNU_1008",291.9708,0.334,0.2635,0.256,28,2.163,0.051,-14.323,0.451,-2.854,0.27,7.5,0.65,170.0335,-60.6504
"CWNU_1009",189.1853,1.012,-9.8081,0.553,67,2.778,0.415,-0.718,0.518,-5.833,0.462,7.35,0.5,82.6209,15.9904
"CWNU_1010",204.5781,1.397,-33.0703,1.282,30,6.237,0.18,-4.709,0.379,-1.105,0.567,8.15,0.45,69.7273,-8.0745
"CWNU_1011",79.2997,0.057,0.3303,0.069,33,1.044,0.067,-1.643,0.309,-4.089,0.142,6.2,3.15,308.0732,40.299
"CWNU_1012",32.7795,1.553,-45.0583,1.227,67,3.426,0.19,12.311,0.582,0.699,0.213,7.85,0.1,324.5475,-18.931
"CWNU_1013",245.5106,1.127,-13.7765,0.486,32,4.37,0.144,-11.978,1.07,8.328,0.381,7.5,0.05,104.716,-35.031
"CWNU_1014",339.5456,0.119,9.3853,0.166,65,6.299,0.101,-9.891,0.924,-23.555,0.558,6.7,0.35,242.1534,-39.0833
"CWNU_1015",203.1371,1.109,-26.1017,1.492,46,5.72,0.12,12.055,1.095,-14.383,1.145,7.7,0.45,75.3308,-3.7069
"CWNU_1016",290.0408,0.878,1.1534,0.402,35,2.391,0.061,-15.395,0.574,-0.711,0.855,7.7,0.4,167.1035,-59.1153
"CWNU_1017",100.9995,0.337,-16.3303,0.284,20,2.293,0.093,-1.47,0.175,-4.448,0.481,7.25,0.9,344.2128,41.6101
"CWNU_1018",204.8492,0.946,-33.8514,1.461,42,6.055,0.184,-9.469,0.566,-4.717,0.378,8.15,0.35,69.1285,-8.6315
"CWNU_1019",264.5918,0.861,-5.8271,0.574,24,2.351,0.124,-9.239,0.75,8.549,0.555,7.45,0.4,126.1334,-47.7947
"CWNU_1020",273.6809,1.184,-5.9269,0.484,124,2.295,0.084,-10.63,0.575,7.726,0.677,7.55,0.45,134.869,-55.0285
"CWNU_1021",90.6335,1.66,0.0319,0.214,23,3.318,0.08,7.282,0.666,1.091,1.058,7.7,0.35,318.6289,48.8109
"CWNU_1022",213.1372,0.445,-25.0558,0.499,22,2.967,0.051,-0.145,1.787,-2.377,2.173,7.9,0.45,80.3488,-11.303
"CWNU_1023",161.0691,0.402,-0.6724,0.3,73,0.996,0.044,0.504,1.085,-3.525,1.166,7.9,1.15,71.9938,43.9959
"CWNU_1024",237.7946,1.144,-10.5968,0.479,189,2.521,0.104,-6.046,0.329,6.01,0.276,7.6,0.35,104.4511,-26.8504
"CWNU_1025",187.9836,0.339,-2.9198,0.668,40,5.083,0.145,8.535,0.928,-20,0.599,7.5,0.05,88.1676,20.5903
"CWNU_1026",245.8603,0.112,3.5661,0.096,29,0.983,0.023,-2.864,0.077,1.008,0.055,8.5,0.15,122.7288,-27.0321
"CWNU_1027",103.2721,0.087,5.7591,0.075,19,0.909,0.016,-3.002,0.38,-3.458,0.252,7.6,1.55,328.1314,61.5982
"CWNU_1028",206.5366,0.73,-25.9833,0.491,19,3.01,0.074,0.91,0.442,-0.675,0.3,6.85,0.05,76.8665,-6.3532
"CWNU_1029",140.2917,0.214,1.8413,0.169,95,0.909,0.038,0.558,0.417,-1.575,0.626,7.15,3,49.1312,59.7303
"CWNU_1030",260.4558,0.177,-1.608,0.097,59,0.807,0.027,-5.411,0.143,4.944,0.199,7.1,0.8,127.611,-41.9865
"CWNU_1031",257.1245,0.78,-9.1444,0.409,24,3.709,0.096,-10.055,0.31,-3.238,0.449,7.8,0.35,116.5449,-43.2331
"CWNU_1032",68.2355,0.505,-0.1507,0.429,31,2.622,0.041,3.531,0.294,-1.46,0.235,7.65,0.3,300.9033,30.8726
"CWNU_1033",225.6037,0.097,1.685,0.077,26,0.805,0.016,-2.402,0.393,-0.323,0.919,8.5,0.45,110.2303,-10.4712
"CWNU_1034",240.2748,0.78,-2.6004,0.264,47,2.216,0.081,-7.86,0.347,5.911,0.174,7.55,0.4,113.6329,-25.4074
"CWNU_1035",77.4199,0.17,1.4782,0.116,22,0.978,0.015,-2.367,0.568,-7.237,0.748,6.75,0.85,305.4328,39.4365
"CWNU_1036",22.8935,0.59,42.8799,0.34,18,2.628,0.122,1.759,3.124,-6.97,2.766,9.35,0.45,240.245,11.3383
"CWNU_1037",262.5691,0.512,-2.8913,0.645,37,2.075,0.124,-6.608,2.226,6.96,0.689,7.7,0.5,127.8957,-44.4488
"CWNU_1038",104.6424,0.345,5.6042,0.38,109,1.085,0.029,-1.49,0.308,-2.744,0.218,6.9,1.4,330.6203,62.3154
"CWNU_1039",254.5882,0.629,1.0612,0.302,49,2.042,0.115,-9.12,2.352,5.544,1.187,7.55,0.4,126.0163,-35.6614
"CWNU_1040",121.9811,0.149,-0.9128,0.05,30,1.838,0.046,3.352,0.191,-2.159,0.333,6.75,2.8,10.8378,61.944
"CWNU_1041",216.026,0.095,-2.1149,0.076,19,0.843,0.017,-0.136,0.319,-0.904,0.443,7.7,0.8,102.3859,-3.7172
"CWNU_1042",148.2887,0.101,-0.4306,0.114,43,0.862,0.05,-0.347,0.341,-1.451,0.243,6.6,3,58.5028,53.2062
"CWNU_1043",72.4938,0.368,0.4999,1.17,33,2.832,0.067,4.541,0.631,-0.765,0.7,7.85,0.85,302.9944,34.806
"CWNU_1044",267.7674,2.469,-6.3846,0.375,437,2.818,0.184,-12.441,1.444,9.907,0.612,7.6,0.4,128.2361,-50.6928
"CWNU_1045",87.1012,0.874,0.5421,1.645,254,2.665,0.239,5.671,1.392,0.984,1.373,7.8,0.45,314.5398,46.5388
"CWNU_1046",229.706,0.529,-14.6919,0.566,33,3.041,0.108,-5.256,0.518,6.221,0.425,7.55,0.9,96.7931,-21.3521
"CWNU_1047",116.4911,0.237,14.4714,0.614,19,3.025,0.069,13.049,1.181,5.764,1.925,8.35,0.55,346.198,75.9917
"CWNU_1048",253.2543,0.182,-1.7796,0.035,20,2.792,0.043,-7.533,0.204,11.282,0.668,6,0.05,122.1873,-36.1416
"CWNU_1049",88.9193,0.291,-0.9679,0.146,52,1.345,0.035,0.022,0.352,-2.339,0.414,7.05,0.7,317.9507,46.8794
"CWNU_1050",72.9162,0.428,2.0242,0.722,34,2.662,0.176,3.495,0.747,-0.185,0.468,7.9,0.55,301.7068,35.9894
"CWNU_1051",277.3799,0.145,-8.0076,0.199,19,2.84,0.049,-9.47,0.447,1.319,0.704,7.85,0.35,136.4236,-59.1635
"CWNU_1052",50.4448,0.069,0.1185,0.058,18,0.804,0.028,-1.091,0.13,-4.33,0.133,7.45,2.3,290.9388,15.5904
"CWNU_1053",287.1229,0.613,2.906,0.391,67,2.007,0.079,-18.058,0.551,6.288,0.535,7.9,0.45,163.4811,-56.3157
"CWNU_1054",206.1062,0.45,-11.6571,0.624,42,2.392,0.051,-2.189,0.234,-1.959,0.443,7.7,1.35,89.3906,0.6566
"CWNU_1055",105.8985,0.277,8.8284,0.292,38,2.191,0.062,5.724,0.171,-0.244,0.239,7.15,0.6,328.3273,65.6229
"CWNU_1056",108.8212,0.969,-7.3484,0.324,35,2.504,0.058,3.926,0.872,-3.752,0.904,8.05,0.75,349.2207,52.9132
"CWNU_1057",210.2774,1.031,-23.1349,0.392,20,7.063,0.054,-0.944,0.365,-2.437,0.48,7.35,0.25,80.9691,-8.1202
"CWNU_1058",141.0862,0.158,2.8061,0.275,61,0.899,0.026,-2.052,0.079,-0.738,0.178,7,2.2,51.5055,60.1112
"CWNU_1059",124.7904,0.14,3.3434,0.164,36,0.966,0.021,-0.255,0.084,0.766,0.086,7.6,3.5,17.4519,66.1488
"CWNU_1060",277.439,0.306,5.1059,0.123,15,2.825,0.063,-17.469,1.843,5.057,0.754,7.9,0.2,151.6288,-49.4262
"CWNU_1061",33.3118,0.753,7.3273,0.381,39,2.483,0.057,1.161,0.52,-4.635,2.006,8.45,1.05,276.5018,3.6699
"CWNU_1062",238.4746,2.104,69.515,0.907,32,3.208,0.061,-9.11,0.103,-1.583,0.155,7.45,0.5,173.5763,17.0288
"CWNU_1063",184.9564,0.132,-1.7204,0.119,24,1.204,0.04,1.08,1.269,-4.472,1.237,8.3,0.75,87.6181,23.8041
"CWNU_1064",238.141,0.099,-7.0861,0.025,16,0.817,0.023,-3.617,0.13,4.19,0.057,7.1,0.5,108.1373,-25.6213
"CWNU_1065",331.9114,0.054,-0.0864,0.046,20,0.831,0.019,0.138,0.167,-2.159,0.075,7.55,1.45,243.4892,-51.1913
"CWNU_1066",60.0434,3.139,-73.5259,1.209,22,10.021,0.216,27.54,0.912,-3.606,0.92,8.1,0.3,357.3947,-18.7989
"CWNU_1067",259.3215,0.203,2.2151,0.251,30,2.059,0.081,-6.586,2.087,5.063,1.147,8.75,0.3,130.7188,-38.7767
"CWNU_1068",167.1376,0.148,-2.7726,0.108,58,0.937,0.051,-0.532,0.191,-2.912,0.218,6.75,0.1,74.9081,37.9648
"CWNU_1069",257.0663,0.961,-8.6102,0.584,89,2.556,0.107,-9.279,0.698,9.355,0.683,7.55,0.55,117.146,-42.9233
"CWNU_1070",141.7144,0.203,2.9098,0.187,47,0.902,0.035,-1.939,0.107,-0.734,0.114,7.15,1.85,52.6583,59.8434
"CWNU_1071",332.4685,0.074,-2.0575,0.078,33,1.129,0.023,0.441,0.195,-3.628,0.146,7.9,0.3,246.362,-52.204
"CWNU_1072",210.3723,0.502,-16.4437,0.403,29,2.267,0.09,-2.431,0.313,0.291,0.269,7,0.05,87.0409,-5.2186
"CWNU_1073",75.1178,0.751,-1.4318,0.172,20,2.922,0.055,5.772,0.547,-0.045,0.663,7.9,0.2,306.7661,35.8794
"CWNU_1074",44.7227,0.068,-8.5256,0.096,22,1.334,0.032,0.574,0.142,-1.961,0.18,7.55,0.9,295.8925,6.445
"CWNU_1075",74.1989,0.598,4.1074,1.434,51,2.876,0.074,3.247,0.711,0.496,0.394,7.75,0.25,300.349,38.182
"CWNU_1076",137.9988,0.529,-2.9657,0.362,30,2.77,0.054,8.78,0.132,-4.026,0.213,7.9,0.45,40.98,56.5794
"CWNU_1077",119.6776,8.192,-60.6877,2.272,32,8.376,0.267,17.273,2.089,-13.475,3.056,8,0.35,11.2658,2.1438
"CWNU_1078",289.3205,0.402,-0.8285,0.374,36,2.256,0.104,-14.695,0.874,-0.458,0.938,7.75,0.55,164.1851,-60.6328
"CWNU_1079",224.8672,0.214,1.6203,0.236,26,0.904,0.026,-1.349,0.466,0.326,0.473,7.8,0.4,109.8217,-9.8511
"CWNU_1080",149.2707,0.122,-10.1514,0.106,25,0.861,0.031,-0.567,0.101,-3.103,0.037,7.05,0.45,50.8536,44.8087
"CWNU_1081",198.8168,0.292,-6.96,0.269,18,2.211,0.055,0.378,1.357,-3.672,1.9,8.9,0.05,90.0869,9.2178
"CWNU_1082",260.072,2.032,-8.2661,0.816,493,3.046,0.118,-11.356,0.63,4.719,0.439,7.5,0.3,119.6271,-45.3292
"CWNU_1083",259.2384,1.249,-2.5222,1.269,383,2.927,0.1,-7.1,0.298,10.014,0.465,6.9,0.05,125.6671,-41.5248
"CWNU_1084",71.2208,0.367,0.1268,0.543,52,3.098,0.048,4.995,0.299,-0.273,0.229,7.7,0.35,302.5295,33.5365
"CWNU_1085",277.4615,0.727,0.4717,0.331,64,2.142,0.136,-13.212,1.293,4.075,0.895,7.8,0.55,147.1137,-53.1021
"CWNU_1086",151.9242,0.144,3.9555,0.324,30,1.296,0.031,0.928,0.251,-3.343,0.189,6.9,1.45,68.025,53.9068
"CWNU_1087",230.1115,0.099,2.377,0.159,42,1.016,0.024,-2.376,0.571,0.399,0.651,8.85,0.35,113.0436,-14.1071
"CWNU_1088",206.3148,0.477,-15.5134,0.293,19,2.217,0.063,1.596,0.194,-4.034,0.214,6.5,4.1,86.0765,-1.3259
"CWNU_1089",171.4522,0.153,-0.8888,0.055,32,0.913,0.028,-0.285,0.433,-3.21,0.585,7.55,1.1,80.001,35.6156
"CWNU_1090",120.7191,1.981,17.0298,0.95,68,6.491,0.147,22.848,1.146,0.259,4.521,7.25,0.05,0.9479,79.6963
"CWNU_1091",72.7709,2.008,-34.6409,1.507,21,5.238,0.087,14.904,0.857,-10.696,0.749,8.1,0.25,332.6095,12.1158
"CWNU_1092",199.7373,0.207,-6.9652,0.508,18,2.42,0.058,-3.299,0.228,-4.13,0.513,7.2,0.3,90.5296,8.4157
"CWNU_1093",200.3144,0.35,21.2758,0.36,22,1.844,0.03,-6.906,0.181,-4.299,0.267,7.95,0.05,117.0609,20.2806
"CWNU_1094",171.8682,0.763,-22.274,0.447,17,8.337,0.053,4.321,0.572,-14.677,0.412,7.45,0.05,61.4872,21.603
"CWNU_1095",136.9801,2.328,50.9885,0.406,38,4.132,0.117,11.838,0.962,1.765,0.741,8.6,0.45,172.5607,63.8677
"CWNU_1096",257.8662,0.427,0.2379,0.126,24,2.726,0.055,-6.634,0.108,9.553,0.177,6.9,0.4,127.5694,-38.8068
"CWNU_1097",117.3566,0.31,-8.8496,0.228,16,2.36,0.068,9.03,1.107,-2.898,2.14,7.8,0.5,3.5457,53.6184
"CWNU_1098",164.2662,0.15,0.335,0.079,70,0.828,0.046,1.03,0.371,-3.425,0.286,8.6,0.7,75.8138,42.138
"CWNU_1099",220.0008,0.511,-5.4811,0.389,20,3.692,0.068,-0.779,0.377,-5.007,0.297,7.45,0.25,101.1692,-8.7763
"CWNU_1100",236.8636,0.166,1.5082,0.097,30,0.861,0.029,-2.218,0.42,1.449,0.431,7.85,0.55,115.7035,-20.4197
"CWNU_1101",266.2101,1.339,-3.4506,1.019,67,2.438,0.083,-10.547,0.489,2.042,0.261,7.55,0.55,130.4022,-47.6905
"CWNU_1102",245.0511,0.518,-1.2081,0.276,39,2.084,0.064,-8.579,0.347,5.652,0.265,7.5,0.4,117.653,-28.8619
"CWNU_1103",300.3165,0.268,-3.7558,0.284,20,2.246,0.058,-14.904,0.714,-2.933,0.493,7.55,1.15,186.304,-66.4943
"CWNU_1104",176.6018,0.081,-2.7183,0.094,33,1.044,0.031,-0.46,0.369,-4.481,0.544,7.65,0.95,81.6645,30.3342
"CWNU_1105",103.822,0.468,6.0149,0.213,31,2.008,0.085,4.815,1.518,2.335,1.143,9.05,0.95,328.6957,62.1403
"CWNU_1106",198.5182,0.115,-9.6215,0.204,21,2.478,0.079,-3.5,0.255,-3.645,0.227,6.45,0.05,87.5914,8.1757
"CWNU_1107",105.3447,0.025,7.1555,0.044,21,0.99,0.019,-3.103,0.08,-4.149,0.346,6.75,1.35,329.7638,63.972
"CWNU_1108",174.1528,1.911,-22.2028,0.561,16,8.088,0.058,3.409,0.915,-13.876,0.657,7.2,0.15,63.0886,20.1071
"CWNU_1109",61.1527,0.195,29.4225,0.357,15,2.962,0.036,-2.613,0.114,-3.159,0.19,7.25,0.1,264.858,36.1974
"CWNU_1110",99.8438,1.439,69.508,0.555,18,3.356,0.077,9.731,4.153,-5.048,3.239,7.9,0.3,204.1627,45.5399
"CWNU_1111",192.7511,1.537,-9.0558,0.414,37,3.745,0.093,-1.914,0.297,-6.117,0.302,7.4,0.05,85.1812,13.3815
"CWNU_1112",229.8753,0.262,2.0936,0.531,74,0.884,0.029,-3.148,0.557,1.014,0.463,8.7,0.55,112.6704,-14.0362
"CWNU_1113",338.3651,1.122,27.9328,1.034,31,6.512,0.15,-16.489,1.134,-20.762,0.987,7.45,0.15,227.3638,-25.282
"CWNU_1114",166.3512,0.378,-13.658,0.448,44,2.284,0.086,7.34,1.455,-10.281,2.798,8.85,1.2,64.3219,31.365
"CWNU_1115",106.0678,0.142,5.935,0.184,67,1.095,0.045,-0.888,0.275,-2.051,0.28,6.7,1.45,332.7058,63.4184
"CWNU_1116",259.3122,0.055,-13.1298,0.076,27,2.415,0.044,-4.095,0.184,8.798,0.357,6.85,1.35,112.9292,-46.9728
"CWNU_1117",271.3999,0.37,-0.4441,0.398,26,2.053,0.081,-13.494,0.828,9.517,1.047,7.7,0.55,138.988,-49.6489
"CWNU_1118",108.7077,0.141,-2.5165,0.18,44,0.892,0.042,-1.128,0.721,-1.468,0.92,8.95,1.45,345.8051,57.3359
"CWNU_1119",95.0943,3.855,-53.2225,2.666,34,7.8,0.307,20.912,2.136,-15.799,3.32,8.25,0.7,356.53,6.0821
"CWNU_1120",76.9941,0.176,0.2006,0.28,18,2.021,0.078,3.008,0.616,-0.614,0.811,7.8,0.55,306.4629,38.3545
"CWNU_1121",259.0543,0.804,-22.1647,0.398,41,2.098,0.085,-6.574,0.828,10.178,0.829,7.7,0.35,100.0615,-50.009
"CWNU_1122",304.5184,0.298,2.8621,0.189,124,1.505,0.036,-12.056,0.21,-3.927,0.193,8.5,0.9,196.0269,-59.9706
"CWNU_1123",268.9468,1.467,-14.5711,0.907,127,2.254,0.127,-4.114,0.841,10.389,0.935,7.9,0.45,117.5694,-55.9904
"CWNU_1124",94.5377,0.807,-1.5282,0.577,56,2.855,0.081,7.069,1.799,1.839,1.105,7.75,0.35,324.6389,50.397
"CWNU_1125",152.434,0.227,0.5609,0.156,38,1.284,0.022,0.434,0.834,-3.434,1.548,7.65,1.2,64.6147,51.1707
"CWNU_1126",106.2859,0.107,6.5839,0.098,26,1.077,0.022,-1.452,0.077,-3.22,0.096,6.9,0.9,332.2541,64.0727
"CWNU_1127",20.0886,1.636,-52.5845,0.801,28,3.857,0.083,15.311,0.403,0.135,0.261,7.9,0.05,330.3068,-28.84
"CWNU_1128",162.473,1.751,26.3643,0.702,72,5.04,0.11,-2.905,0.669,-31.216,0.768,8.05,0.35,110.8586,54.829
"CWNU_1129",175.5231,0.363,-16.4618,0.451,25,6.161,0.114,10.017,1.536,-17.079,0.892,6.25,0.95,68.6511,22.9102
"CWNU_1130",139.8087,0.17,2.5548,0.195,37,0.934,0.02,0.335,0.11,0.676,0.086,7.15,1.85,49.0615,60.591
"CWNU_1131",141.1433,0.142,1.4849,0.162,93,0.922,0.038,0.553,0.198,-1.557,0.247,6.8,2.75,50.1711,58.9748
"CWNU_1132",147.3755,0.082,1.9323,0.155,28,0.921,0.03,0.983,0.804,-3.493,0.911,8.75,2,59.9176,55.6019
"CWNU_1133",90.1117,0.546,3.0606,0.215,28,3.28,0.115,8.189,1.004,4.378,0.91,7.85,0.35,314.6254,50.4621
"CWNU_1134",271.0288,1.876,-7.2517,0.52,26,3.205,0.076,-13.954,0.671,11.949,0.522,7.6,0.5,130.2523,-53.81
