name,method,perc_diff,perc_missed_-16,perc_missed_+16,delta_coords_std,delta_pms_std,delta_plx_std
IC_2602.csv,py,-526.4,3.4,1.5,-6.10,-10.60,-1.41
UPK_545.csv,py,-478.2,2.0,6.7,-1.39,-7.38,-1.86
Collinder_132.csv,py,-333.7,37.1,54.2,-0.48,-1.64,-0.40
RSG_8.csv,py,-104.1,21.6,32.9,-0.45,-0.18,-0.03
UPK_495.csv,py,-548.7,53.8,92.3,-0.43,-1.89,-0.48
UPK_585.csv,py,-25.0,27.3,83.3,-0.71,-0.21,0.05
UBC_8.csv,py,-69.9,0.0,5.3,-0.16,-0.04,-0.03
UPK_442.csv,py,-57.4,28.6,41.7,-0.18,-2.21,-0.25
Gulliver_9.csv,py,-424.6,20.8,24.5,-0.85,-1.94,-0.45
UPK_552.csv,py,-9.1,20.7,26.7,-0.29,-0.17,0.02
Alessi_2.csv,py,-54.7,6.3,29.2,-0.26,-3.12,-0.30
UPK_230.csv,py,-189.3,11.1,10.0,-0.64,-0.77,-0.05
Stock_2.csv,py,-31.2,4.8,7.2,-0.70,-0.79,-0.02
COIN-Gaia_13.csv,py,-30.0,13.7,31.4,-0.31,0.01,0.05
ASCC_41.csv,py,-1.6,8.5,9.6,0.04,0.02,0.02
UBC_31.csv,py,-1301.4,12.3,12.5,-0.76,-1.40,-0.25
NGC_1039.csv,py,-14.8,13.5,16.8,-0.13,0.09,0.03
ASCC_127.csv,py,-64.1,14.6,18.8,-0.57,0.02,0.02
NGC_2451A.csv,py,-6.6,5.6,4.7,-0.03,-0.00,0.00
IC_2602.csv,M1,-48.6,5.7,10.4,-0.56,-0.86,-0.00
IC_2602.csv,M2,-42.1,5.7,11.9,-0.50,-0.75,0.01
IC_2602.csv,M3,-109.3,3.4,8.9,-2.99,-2.05,-0.06
IC_2602.csv,M4,-100.6,3.4,9.6,-2.83,-1.93,-0.04
IC_2602.csv,M5,-62.7,5.1,3.0,-0.75,-0.83,0.00
IC_2602.csv,M6,-59.2,5.7,3.7,-0.72,-0.81,0.01
IC_2602.csv,M7,-111.6,3.4,3.0,-2.76,-1.48,-0.01
IC_2602.csv,M8,-95.8,4.5,3.0,-2.51,-1.30,0.00
IC_2602.csv,M9,-47.3,6.2,4.4,-0.21,-0.50,-0.23
IC_2602.csv,M10,-40.5,6.8,4.4,-0.16,-0.41,-0.21
IC_2602.csv,M11,-145.0,3.4,2.2,-3.75,-1.05,-0.58
IC_2602.csv,M12,-117.7,4.0,4.4,-3.59,-0.80,-0.55
IC_2602.csv,M13,-52.1,6.2,3.7,-0.20,-0.37,-0.20
IC_2602.csv,M14,-45.3,6.2,3.7,-0.12,-0.30,-0.18
IC_2602.csv,M15,-135.4,3.4,1.5,-3.52,-0.48,-0.53
IC_2602.csv,M16,-114.5,3.4,1.5,-3.33,-0.41,-0.48
IC_2602.csv,M17,-53.7,5.1,8.9,-0.67,-0.92,-0.01
IC_2602.csv,M18,-46.6,5.7,11.9,-0.59,-0.77,0.00
IC_2602.csv,M19,-66.2,4.0,3.0,-0.88,-0.88,0.00
IC_2602.csv,M20,-92.0,3.4,10.4,-2.77,-1.87,-0.03
IC_2602.csv,M21,-66.2,4.0,3.0,-0.87,-0.87,-0.00
IC_2602.csv,M22,-61.1,5.1,3.7,-0.85,-0.85,0.01
IC_2602.csv,M23,-112.9,3.4,3.0,-2.83,-1.47,-0.01
IC_2602.csv,M24,-97.4,4.5,3.0,-2.48,-1.31,-0.00
UPK_545.csv,M1,-11.5,11.1,29.3,-0.22,-0.29,0.03
UPK_545.csv,M2,-8.0,12.1,33.3,-0.23,-0.24,0.04
UPK_545.csv,M3,-54.0,9.1,32.0,-0.67,-0.65,0.02
UPK_545.csv,M4,-43.7,10.1,30.7,-0.56,-0.57,0.02
UPK_545.csv,M5,-13.2,16.2,24.0,-0.18,-0.21,0.05
UPK_545.csv,M6,-8.6,16.2,25.3,-0.21,-0.14,0.05
UPK_545.csv,M7,-41.4,15.2,20.0,-0.48,-0.39,0.05
UPK_545.csv,M8,-31.0,15.2,21.3,-0.43,-0.31,0.05
UPK_545.csv,M9,-54.0,4.0,16.0,-0.40,-0.22,-0.12
UPK_545.csv,M10,-32.8,4.0,25.3,-0.32,-0.12,-0.10
UPK_545.csv,M11,-102.3,3.0,22.7,-0.80,-0.25,-0.20
UPK_545.csv,M12,-88.5,3.0,24.0,-0.73,-0.21,-0.19
UPK_545.csv,M13,-51.1,2.0,6.7,-0.42,-0.05,-0.10
UPK_545.csv,M14,-39.1,4.0,8.0,-0.30,-0.02,-0.10
UPK_545.csv,M15,-78.7,2.0,6.7,-0.63,-0.06,-0.14
UPK_545.csv,M16,-56.3,4.0,8.0,-0.55,-0.03,-0.12
UPK_545.csv,M17,-12.6,12.1,30.7,-0.30,-0.31,0.04
UPK_545.csv,M18,-10.9,11.1,32.0,-0.29,-0.27,0.04
UPK_545.csv,M19,-16.1,15.2,22.7,-0.24,-0.21,0.05
UPK_545.csv,M20,-42.5,10.1,32.0,-0.55,-0.58,0.02
UPK_545.csv,M21,-16.7,15.2,22.7,-0.26,-0.21,0.05
UPK_545.csv,M22,-12.6,15.2,22.7,-0.22,-0.15,0.05
UPK_545.csv,M23,-41.4,15.2,20.0,-0.51,-0.37,0.05
UPK_545.csv,M24,-31.0,15.2,20.0,-0.42,-0.29,0.05
Collinder_132.csv,M1,16.3,46.8,83.3,-0.29,-0.02,0.05
Collinder_132.csv,M2,31.4,53.2,87.5,-0.28,0.01,0.05
Collinder_132.csv,M3,-15.1,46.8,83.3,-0.48,-0.05,0.05
Collinder_132.csv,M4,5.8,50.0,87.5,-0.47,-0.02,0.05
Collinder_132.csv,M5,20.9,56.5,66.7,-0.25,0.08,0.06
Collinder_132.csv,M6,45.3,62.9,79.2,-0.01,0.10,0.07
Collinder_132.csv,M7,4.7,56.5,66.7,-0.40,0.05,0.06
Collinder_132.csv,M8,24.4,59.7,79.2,-0.40,0.06,0.06
Collinder_132.csv,M9,-69.8,22.6,45.8,-0.34,0.06,0.00
Collinder_132.csv,M10,-41.9,25.8,45.8,-0.31,0.08,0.00
Collinder_132.csv,M11,-109.3,24.2,45.8,-0.39,0.03,-0.01
Collinder_132.csv,M12,-76.7,25.8,45.8,-0.38,0.05,-0.00
Collinder_132.csv,M13,-97.7,29.0,33.3,-0.38,0.09,-0.00
Collinder_132.csv,M14,-73.3,33.9,37.5,-0.40,0.11,0.00
Collinder_132.csv,M15,-120.9,29.0,33.3,-0.48,0.09,-0.01
Collinder_132.csv,M16,-93.0,33.9,33.3,-0.44,0.10,-0.00
Collinder_132.csv,M17,17.4,48.4,87.5,-0.33,0.01,0.05
Collinder_132.csv,M18,30.2,54.8,79.2,-0.27,0.02,0.05
Collinder_132.csv,M19,25.6,59.7,62.5,-0.24,0.08,0.06
Collinder_132.csv,M20,9.3,48.4,87.5,-0.47,-0.02,0.05
Collinder_132.csv,M21,25.6,59.7,66.7,-0.20,0.09,0.06
Collinder_132.csv,M22,38.4,64.5,66.7,-0.16,0.09,0.06
Collinder_132.csv,M23,0.0,58.1,62.5,-0.42,0.05,0.06
Collinder_132.csv,M24,23.3,62.9,66.7,-0.35,0.06,0.06
RSG_8.csv,M1,38.8,70.5,89.0,-0.39,-0.02,0.11
RSG_8.csv,M2,54.1,71.6,95.1,-0.33,-0.01,0.12
RSG_8.csv,M3,20.0,70.5,90.2,-0.66,-0.03,0.11
RSG_8.csv,M4,27.6,70.5,92.7,-0.65,-0.03,0.11
RSG_8.csv,M5,63.5,75.0,87.8,0.06,0.18,0.13
RSG_8.csv,M6,71.8,77.3,90.2,0.15,0.21,0.14
RSG_8.csv,M7,50.0,75.0,85.4,-0.48,0.13,0.13
RSG_8.csv,M8,64.7,77.3,91.5,-0.39,0.18,0.14
RSG_8.csv,M9,17.1,63.6,78.0,-0.31,0.20,0.05
RSG_8.csv,M10,35.9,65.9,80.5,-0.20,0.23,0.06
RSG_8.csv,M11,-4.7,62.5,79.3,-0.62,0.18,0.04
RSG_8.csv,M12,16.5,67.0,80.5,-0.60,0.22,0.05
RSG_8.csv,M13,25.9,70.5,70.7,0.00,0.27,0.06
RSG_8.csv,M14,42.4,72.7,73.2,0.07,0.29,0.08
RSG_8.csv,M15,-4.1,70.5,72.0,-0.50,0.26,0.06
RSG_8.csv,M16,10.6,70.5,74.4,-0.50,0.28,0.06
RSG_8.csv,M17,28.2,69.3,87.8,-0.49,-0.02,0.11
RSG_8.csv,M18,50.6,71.6,95.1,-0.40,-0.03,0.12
RSG_8.csv,M19,67.6,77.3,86.6,0.13,0.21,0.13
RSG_8.csv,M20,28.8,71.6,92.7,-0.65,-0.03,0.12
RSG_8.csv,M21,60.0,75.0,85.4,0.03,0.18,0.13
RSG_8.csv,M22,72.4,76.1,90.2,0.16,0.24,0.14
RSG_8.csv,M23,41.8,75.0,86.6,-0.58,0.11,0.13
RSG_8.csv,M24,64.1,76.1,92.7,-0.43,0.18,0.14
UPK_495.csv,M1,59.0,57.7,100.0,0.59,0.09,0.10
UPK_495.csv,M2,56.4,57.7,100.0,0.54,0.10,0.10
UPK_495.csv,M3,-12.8,38.5,100.0,-0.61,-0.23,0.09
UPK_495.csv,M4,17.9,46.2,100.0,-0.63,-0.21,0.09
UPK_495.csv,M5,56.4,50.0,100.0,0.57,0.11,0.10
UPK_495.csv,M6,61.5,53.8,100.0,0.54,0.12,0.11
UPK_495.csv,M7,20.5,42.3,92.3,-0.39,-0.04,0.10
UPK_495.csv,M8,33.3,46.2,100.0,-0.35,-0.03,0.11
UPK_495.csv,M9,20.5,30.8,92.3,0.37,0.10,0.02
UPK_495.csv,M10,28.2,34.6,92.3,0.38,0.13,0.01
UPK_495.csv,M11,-23.1,26.9,92.3,-0.41,0.09,-0.01
UPK_495.csv,M12,-5.1,34.6,92.3,-0.43,0.12,-0.00
UPK_495.csv,M13,35.9,50.0,84.6,0.39,0.17,0.02
UPK_495.csv,M14,61.5,69.2,100.0,0.47,0.18,0.08
UPK_495.csv,M15,-7.7,46.2,84.6,-0.46,0.18,0.01
UPK_495.csv,M16,-2.6,42.3,84.6,-0.48,0.18,0.02
UPK_495.csv,M17,48.7,46.2,100.0,0.50,0.08,0.09
UPK_495.csv,M18,51.3,50.0,100.0,0.49,0.07,0.09
UPK_495.csv,M19,61.5,53.8,100.0,0.60,0.11,0.10
UPK_495.csv,M20,-7.7,38.5,100.0,-0.55,-0.18,0.09
UPK_495.csv,M21,64.1,57.7,100.0,0.59,0.12,0.11
UPK_495.csv,M22,64.1,57.7,100.0,0.59,0.12,0.11
UPK_495.csv,M23,30.8,42.3,100.0,-0.35,-0.03,0.10
UPK_495.csv,M24,43.6,46.2,100.0,-0.27,-0.00,0.11
UPK_585.csv,M1,35.7,31.8,100.0,-0.07,-0.03,0.06
UPK_585.csv,M2,28.6,31.8,100.0,-0.22,-0.09,0.06
UPK_585.csv,M3,-46.4,27.3,100.0,-0.98,-0.38,0.05
UPK_585.csv,M4,-7.1,22.7,100.0,-0.70,-0.20,0.05
UPK_585.csv,M5,46.4,31.8,100.0,0.16,0.05,0.06
UPK_585.csv,M6,42.9,27.3,100.0,0.15,0.05,0.06
UPK_585.csv,M7,53.6,45.5,100.0,-0.03,0.08,0.06
UPK_585.csv,M8,46.4,36.4,100.0,0.11,0.04,0.06
UPK_585.csv,M9,32.1,27.3,66.7,0.18,0.08,0.03
UPK_585.csv,M10,39.3,27.3,100.0,0.18,0.08,0.03
UPK_585.csv,M11,-17.9,22.7,100.0,-0.86,0.00,-0.02
UPK_585.csv,M12,-17.9,22.7,100.0,-0.86,0.00,-0.02
UPK_585.csv,M13,100.0,100.0,100.0,nan,nan,nan
UPK_585.csv,M14,92.9,90.9,100.0,0.16,0.16,0.06
UPK_585.csv,M15,100.0,100.0,100.0,nan,nan,nan
UPK_585.csv,M16,92.9,90.9,100.0,0.16,0.16,0.06
UPK_585.csv,M17,21.4,22.7,100.0,-0.20,-0.08,0.05
UPK_585.csv,M18,25.0,22.7,100.0,-0.12,-0.06,0.05
UPK_585.csv,M19,75.0,68.2,100.0,0.19,0.09,0.06
UPK_585.csv,M20,-3.6,27.3,100.0,-0.72,-0.21,0.05
UPK_585.csv,M21,42.9,27.3,100.0,0.15,0.05,0.06
UPK_585.csv,M22,64.3,54.5,100.0,0.17,0.07,0.07
UPK_585.csv,M23,28.6,27.3,100.0,-0.31,-0.04,0.06
UPK_585.csv,M24,50.0,50.0,100.0,-0.06,-0.02,0.06
UBC_8.csv,M1,-26.2,19.0,26.3,0.31,-0.26,-0.01
UBC_8.csv,M2,-21.4,19.0,26.3,0.32,-0.27,-0.01
UBC_8.csv,M3,-124.3,1.2,5.3,-0.42,-0.67,-0.04
UBC_8.csv,M4,-84.5,1.2,10.5,-0.37,-0.48,-0.03
UBC_8.csv,M5,-48.5,13.1,10.5,0.25,-0.16,-0.02
UBC_8.csv,M6,-49.5,13.1,10.5,0.25,-0.14,-0.02
UBC_8.csv,M7,-121.4,1.2,0.0,-0.33,-0.34,-0.03
UBC_8.csv,M8,-111.7,1.2,0.0,-0.31,-0.31,-0.03
UBC_8.csv,M9,-61.2,13.1,15.8,0.25,-0.13,-0.12
UBC_8.csv,M10,-55.3,11.9,15.8,0.25,-0.11,-0.11
UBC_8.csv,M11,-185.4,0.0,5.3,-0.46,-0.38,-0.19
UBC_8.csv,M12,-160.2,0.0,5.3,-0.41,-0.31,-0.17
UBC_8.csv,M13,-70.9,11.9,15.8,0.22,-0.12,-0.11
UBC_8.csv,M14,-68.9,10.7,15.8,0.22,-0.11,-0.08
UBC_8.csv,M15,-158.3,0.0,5.3,-0.35,-0.17,-0.15
UBC_8.csv,M16,-143.7,0.0,5.3,-0.32,-0.15,-0.12
UBC_8.csv,M17,-33.0,15.5,15.8,0.27,-0.30,-0.01
UBC_8.csv,M18,-28.2,15.5,21.1,0.27,-0.27,-0.01
UBC_8.csv,M19,-59.2,11.9,10.5,0.22,-0.16,-0.02
UBC_8.csv,M20,-81.6,1.2,10.5,-0.37,-0.46,-0.03
UBC_8.csv,M21,-55.3,11.9,10.5,0.23,-0.17,-0.02
UBC_8.csv,M22,-52.4,11.9,10.5,0.22,-0.14,-0.02
UBC_8.csv,M23,-120.4,1.2,0.0,-0.31,-0.34,-0.03
UBC_8.csv,M24,-112.6,1.2,0.0,-0.29,-0.31,-0.03
UPK_442.csv,M1,-20.4,35.7,50.0,0.17,-0.23,0.05
UPK_442.csv,M2,-5.6,40.5,50.0,0.15,-0.21,0.05
UPK_442.csv,M3,-94.4,21.4,41.7,-0.23,-0.35,0.04
UPK_442.csv,M4,-68.5,21.4,50.0,-0.21,-0.31,0.04
UPK_442.csv,M5,11.1,50.0,41.7,0.37,-0.06,0.06
UPK_442.csv,M6,24.1,50.0,33.3,0.37,-0.06,0.06
UPK_442.csv,M7,-40.7,26.2,25.0,-0.12,-0.09,0.05
UPK_442.csv,M8,-29.6,28.6,25.0,-0.10,-0.07,0.05
UPK_442.csv,M9,11.1,40.5,50.0,0.43,0.01,0.01
UPK_442.csv,M10,11.1,40.5,50.0,0.42,0.01,0.01
UPK_442.csv,M11,-103.7,0.0,33.3,-0.36,-0.03,-0.02
UPK_442.csv,M12,-68.5,2.4,41.7,-0.27,-0.02,-0.01
UPK_442.csv,M13,-25.9,38.1,33.3,0.33,0.02,-0.01
UPK_442.csv,M14,-20.4,35.7,41.7,0.30,0.02,-0.01
UPK_442.csv,M15,-144.4,0.0,16.7,-0.32,-0.01,-0.03
UPK_442.csv,M16,-111.1,7.1,25.0,-0.30,0.01,-0.02
UPK_442.csv,M17,-27.8,35.7,41.7,0.16,-0.25,0.05
UPK_442.csv,M18,-1.9,40.5,58.3,0.23,-0.16,0.05
UPK_442.csv,M19,13.0,47.6,33.3,0.35,-0.06,0.06
UPK_442.csv,M20,-70.4,23.8,50.0,-0.20,-0.30,0.04
UPK_442.csv,M21,7.4,47.6,33.3,0.36,-0.06,0.05
UPK_442.csv,M22,16.7,47.6,50.0,0.36,-0.07,0.06
UPK_442.csv,M23,-38.9,26.2,25.0,-0.09,-0.09,0.05
UPK_442.csv,M24,-25.9,31.0,33.3,-0.10,-0.09,0.06
Gulliver_9.csv,M1,29.8,23.8,57.0,0.16,-0.08,0.03
Gulliver_9.csv,M2,31.7,25.7,60.3,0.17,-0.08,0.04
Gulliver_9.csv,M3,6.7,16.8,55.6,-0.38,-0.18,0.02
Gulliver_9.csv,M4,3.2,16.8,51.7,-0.35,-0.18,0.03
Gulliver_9.csv,M5,21.4,32.7,39.1,0.20,0.05,0.04
Gulliver_9.csv,M6,36.1,36.6,51.0,0.21,0.08,0.05
Gulliver_9.csv,M7,-1.6,22.8,29.8,-0.20,0.04,0.04
Gulliver_9.csv,M8,4.4,27.7,33.1,-0.19,0.06,0.04
Gulliver_9.csv,M9,31.0,38.6,51.7,0.27,0.13,-0.04
Gulliver_9.csv,M10,36.1,40.6,53.6,0.21,0.13,-0.04
Gulliver_9.csv,M11,-20.6,12.9,48.3,-0.43,0.04,-0.14
Gulliver_9.csv,M12,3.2,18.8,57.0,-0.37,0.07,-0.12
Gulliver_9.csv,M13,25.4,43.6,37.7,0.23,0.18,-0.00
Gulliver_9.csv,M14,28.6,45.5,41.1,0.24,0.18,0.00
Gulliver_9.csv,M15,-6.0,30.7,29.8,-0.28,0.15,-0.04
Gulliver_9.csv,M16,-5.6,30.7,32.5,-0.26,0.15,-0.04
Gulliver_9.csv,M17,28.2,24.8,55.6,0.16,-0.08,0.03
Gulliver_9.csv,M18,31.7,24.8,58.9,0.17,-0.08,0.04
Gulliver_9.csv,M19,18.7,31.7,38.4,0.16,0.04,0.04
Gulliver_9.csv,M20,11.5,17.8,58.3,-0.37,-0.19,0.03
Gulliver_9.csv,M21,19.8,29.7,39.7,0.18,0.05,0.04
Gulliver_9.csv,M22,31.3,34.7,47.0,0.18,0.08,0.05
Gulliver_9.csv,M23,-0.8,23.8,30.5,-0.23,0.03,0.04
Gulliver_9.csv,M24,12.3,27.7,36.4,-0.15,0.06,0.05
UPK_552.csv,M1,6.8,24.1,40.0,0.38,-0.38,0.02
UPK_552.csv,M2,13.6,24.1,46.7,0.42,-0.23,0.03
UPK_552.csv,M3,-63.6,13.8,26.7,-0.41,-1.16,0.00
UPK_552.csv,M4,-59.1,13.8,20.0,-0.34,-1.12,0.01
UPK_552.csv,M5,0.0,24.1,33.3,0.43,-0.34,0.02
UPK_552.csv,M6,4.5,24.1,33.3,0.42,-0.29,0.03
UPK_552.csv,M7,-65.9,13.8,6.7,-0.35,-0.76,0.02
UPK_552.csv,M8,-52.3,13.8,6.7,-0.31,-0.65,0.02
UPK_552.csv,M9,-22.7,20.7,33.3,0.26,-0.41,-0.07
UPK_552.csv,M10,-20.5,20.7,40.0,0.25,-0.41,-0.07
UPK_552.csv,M11,-106.8,10.3,20.0,-0.39,-0.48,-0.17
UPK_552.csv,M12,-93.2,10.3,20.0,-0.34,-0.45,-0.14
UPK_552.csv,M13,9.1,24.1,33.3,0.39,-0.01,-0.00
UPK_552.csv,M14,11.4,24.1,33.3,0.41,0.01,-0.00
UPK_552.csv,M15,-52.3,10.3,0.0,-0.33,-0.08,-0.15
UPK_552.csv,M16,-40.9,10.3,0.0,-0.29,-0.07,-0.12
UPK_552.csv,M17,6.8,24.1,46.7,0.34,-0.48,0.02
UPK_552.csv,M18,13.6,24.1,46.7,0.42,-0.23,0.03
UPK_552.csv,M19,-6.8,24.1,26.7,0.30,-0.46,0.02
UPK_552.csv,M20,-56.8,13.8,20.0,-0.39,-1.13,0.01
UPK_552.csv,M21,-6.8,24.1,26.7,0.32,-0.42,0.02
UPK_552.csv,M22,0.0,24.1,26.7,0.33,-0.39,0.03
UPK_552.csv,M23,-56.8,13.8,6.7,-0.28,-0.65,0.02
UPK_552.csv,M24,-45.5,13.8,6.7,-0.23,-0.58,0.03
Alessi_2.csv,M1,-4.4,11.7,56.2,0.12,-0.19,0.04
Alessi_2.csv,M2,0.0,12.6,60.4,0.12,-0.18,0.04
Alessi_2.csv,M3,-50.3,5.4,52.1,-0.34,-0.32,0.03
Alessi_2.csv,M4,-33.3,7.2,64.6,-0.26,-0.30,0.03
Alessi_2.csv,M5,-13.8,14.4,29.2,0.18,-0.10,0.04
Alessi_2.csv,M6,-9.4,14.4,37.5,0.18,-0.09,0.04
Alessi_2.csv,M7,-46.5,7.2,27.1,-0.21,-0.15,0.04
Alessi_2.csv,M8,-48.4,5.4,27.1,-0.22,-0.15,0.04
Alessi_2.csv,M9,-19.5,10.8,18.8,0.15,-0.01,-0.00
Alessi_2.csv,M10,-14.5,10.8,18.8,0.17,-0.01,0.00
Alessi_2.csv,M11,-72.3,1.8,14.6,-0.30,-0.07,-0.05
Alessi_2.csv,M12,-59.1,1.8,18.8,-0.27,-0.04,-0.04
Alessi_2.csv,M13,-13.8,13.5,12.5,0.18,0.02,0.00
Alessi_2.csv,M14,-12.6,14.4,10.4,0.18,0.02,0.00
Alessi_2.csv,M15,-53.5,5.4,8.3,-0.28,0.01,-0.04
Alessi_2.csv,M16,-47.8,6.3,8.3,-0.28,0.02,-0.03
Alessi_2.csv,M17,-5.7,11.7,56.2,0.10,-0.20,0.04
Alessi_2.csv,M18,1.9,11.7,64.6,0.10,-0.17,0.04
Alessi_2.csv,M19,-16.4,11.7,31.2,0.15,-0.10,0.04
Alessi_2.csv,M20,-37.7,5.4,60.4,-0.29,-0.30,0.03
Alessi_2.csv,M21,-17.0,11.7,25.0,0.13,-0.10,0.04
Alessi_2.csv,M22,-13.8,12.6,35.4,0.15,-0.08,0.04
Alessi_2.csv,M23,-50.9,5.4,27.1,-0.22,-0.15,0.04
Alessi_2.csv,M24,-42.1,7.2,31.2,-0.19,-0.15,0.04
UPK_230.csv,M1,-60.7,16.7,40.0,-0.36,-0.44,0.02
UPK_230.csv,M2,-53.6,16.7,50.0,-0.42,-0.38,0.02
UPK_230.csv,M3,-182.1,11.1,60.0,-0.73,-0.67,0.01
UPK_230.csv,M4,-178.6,11.1,50.0,-0.73,-0.66,0.01
UPK_230.csv,M5,-103.6,11.1,20.0,-0.76,-0.24,0.02
UPK_230.csv,M6,-96.4,11.1,20.0,-0.72,-0.17,0.02
UPK_230.csv,M7,-150.0,11.1,20.0,-0.74,-0.26,0.01
UPK_230.csv,M8,-157.1,11.1,20.0,-0.75,-0.26,0.01
UPK_230.csv,M9,-107.1,11.1,10.0,-0.75,-0.06,-0.05
UPK_230.csv,M10,-92.9,11.1,10.0,-0.74,-0.05,-0.01
UPK_230.csv,M11,-175.0,11.1,10.0,-0.80,-0.12,-0.09
UPK_230.csv,M12,-128.6,11.1,20.0,-0.76,-0.07,-0.07
UPK_230.csv,M13,-135.7,11.1,0.0,-0.69,-0.06,-0.07
UPK_230.csv,M14,-128.6,11.1,0.0,-0.70,-0.05,-0.06
UPK_230.csv,M15,-207.1,11.1,0.0,-0.72,-0.10,-0.09
UPK_230.csv,M16,-200.0,11.1,0.0,-0.73,-0.09,-0.09
UPK_230.csv,M17,-67.9,16.7,50.0,-0.46,-0.49,0.01
UPK_230.csv,M18,-50.0,16.7,60.0,-0.43,-0.39,0.02
UPK_230.csv,M19,-107.1,11.1,20.0,-0.74,-0.29,0.02
UPK_230.csv,M20,-175.0,11.1,50.0,-0.73,-0.62,0.01
UPK_230.csv,M21,-114.3,11.1,20.0,-0.79,-0.29,0.02
UPK_230.csv,M22,-71.4,11.1,40.0,-0.72,-0.14,0.02
